LotId,ExternalDealerId,Vin,StockNumber,Year,Make,Model,InternetPrice,ListPrice,InvoicePrice,ExteriorColor,InteriorColor,Transmission,Trim,Engine,Odometer,Cylinder,EngineFuelType,ModelNumber,BodyStyle,PhotoURL,Options,NewUsed
19009,329,2C4GP54L95R468740,R468740,2005,Chrysler,Town & Country,13929,0,0,SILVER,,A,Touring,Gas V6,49295,,,T,4dr LWB Touring FWD,"http://images.webmakerx.net/InventoryPhotos/2C4G/P54L/95R/2C4GP54L95R468740/2C4GP54L95R468740_1(1).jpg",,U
19009,329,1G2ZH528354156070,4156070,2005,Pontiac,G6,13991,0,0,ORANGE,,A,GT,Gas V6,46173,,,P,4dr Sdn GT,"http://images.webmakerx.net/InventoryPhotos/1G2Z/H528/354/1G2ZH528354156070/1G2ZH528354156070_1(1).jpg",Air Conditioning; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Steering; Power Windows; Traction Control,U
19009,329,1FTPW14554KD21972,PKD21972,2004,Ford,F-150,20996,0,0,GREEN,,,XLT,Gas V8,46664,,,T,SuperCrew 139" XLT 4WD,"http://images.webmakerx.net/InventoryPhotos/1FTP/W145/54K/1FTPW14554KD21972/1FTPW14554KD21972_1.jpg",,U
19009,329,1D7HL48X03S378336,S378336,2003,Dodge,Dakota,10598,0,0,RED,,A,SLT,Gas V6,46223,,,T,4dr Quad Cab 131" WB SLT,"http://images.webmakerx.net/InventoryPhotos/1D7H/L48X/03S/1D7HL48X03S378336/1D7HL48X03S378336_1.jpg",,U
19003,327,2G1WT58N479146957,P9146957,2007,Chevrolet,Impala,14497,0,0,GRAY,,Automatic,3.5L LT,Gas/Ethanol V6,29385,,,,4dr Sdn 3.5L LT,"http://images.webmakerx.net/InventoryPhotos/2G1W/T58N/479/2G1WT58N479146957/2G1WT58N479146957_1.jpg",Air Conditioning; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
19009,329,3VWCD31C55M414226,M414226,2005,Volkswagen,New Beetle Coupe,13991,0,0,RED,,A,GLS,Gas I4,33307,,,P,2dr GLS Turbo Manual,"http://images.webmakerx.net/InventoryPhotos/3VWC/D31C/55M/3VWCD31C55M414226/3VWCD31C55M414226_1(1).jpg",Air Conditioning; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Tilt Wheel,U
19009,329,1GNDT13S652349131,2349131,2005,Chevrolet,TrailBlazer,14932,0,0,WHITE,,A,LS,Gas I6,27408,,,T,4dr 4WD LS,"http://images.webmakerx.net/InventoryPhotos/1GND/T13S/652/1GNDT13S652349131/1GNDT13S652349131_1(1).jpg",Air Conditioning; Driver Side Air Bag; Luggage Rack; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
6920,329,1HGCM56684A042895,PA042895,2004,Honda,Accord Sdn,15987,0,0,BLACK,,A,EX,Gas I4,46980,,,P,EX Auto,"http://images.webmakerx.net/InventoryPhotos/1HGC/M566/84A/1HGCM56684A042895/1HGCM56684A042895_1.jpg",Air Conditioning; Climate Control; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel; Traction Control,U
6920,329,1HGCM566X4A008229,PA008229,2004,Honda,Accord Sdn,14907,0,0,GOLD,,A,EX,Gas I4,50135,,,P,EX Auto,"http://images.webmakerx.net/InventoryPhotos/1HGC/M566/X4A/1HGCM566X4A008229/1HGCM566X4A008229_1.jpg",Air Conditioning; Climate Control; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel; Traction Control,U
19003,327,2B3KA43G46H333233,PH333233,2006,Dodge,Charger,14950,0,0,GRAY,,,Basic,Gas V6,78159,,,,4dr Sdn RWD,"http://images.webmakerx.net/InventoryPhotos/2B3K/A43G/46H/2B3KA43G46H333233/2B3KA43G46H333233_1(2).jpg",,U
